nickname,id,name,url
"""Yashabo""",255,Teruto Ishihara,http://www.fightmetric.com/fighter-details/88cd34d836b4ebcd
"""Sertanejo""",256,Felipe Arantes,http://www.fightmetric.com/fighter-details/71002dbc1743b9a7
"""The Terminator""",257,Song Yadong,http://www.fightmetric.com/fighter-details/efb96bf3e9ada36f
"""Dy Incredible""",258,Rolando Dy,http://www.fightmetric.com/fighter-details/55ed59d541f8b90c
"""Sugar""",259,Shane Young,http://www.fightmetric.com/fighter-details/4cd8b03aee1d0138
"""The Assassin""",260,Song Kenan,http://www.fightmetric.com/fighter-details/32490e80ddab1e5a
"""El Charro""",261,Hector Aldana,http://www.fightmetric.com/fighter-details/c487223b0289bda9
"""Animal""",262,Shinsho Anzai,http://www.fightmetric.com/fighter-details/4665f9f909cd7214
"""The Celtic Kid""",263,Jake Matthews,http://www.fightmetric.com/fighter-details/a845f0735bc67405
"""Sucuri""",264,Viviane Pereira,http://www.fightmetric.com/fighter-details/d50382dc0565a9e1
"""Nine""",265,Yan Xiaonan,http://www.fightmetric.com/fighter-details/c41d426cc7326d1b
"""Danger""",266,Matt Schnell,http://www.fightmetric.com/fighter-details/67c1d46f4ed16f9e
,267,Naoki Inoue,http://www.fightmetric.com/fighter-details/199eb7cf6ae90294
"""The Demolition Man""",268,Jenel Lausa,http://www.fightmetric.com/fighter-details/ec664422b22d9787
"""Ulka""",269,Ulka Sasaki,http://www.fightmetric.com/fighter-details/7c3c48cf54a2848e
"""Firefist""",270,Ji Yeon Kim,http://www.fightmetric.com/fighter-details/a20f234df70f2182
,271,Melinda Fabian,http://www.fightmetric.com/fighter-details/8c020156779f7888
"""The Reaper""",272,Robert Whittaker,http://www.fightmetric.com/fighter-details/e1147d3d2dabe1ce
"""Soldier of God""",273,Yoel Romero,http://www.fightmetric.com/fighter-details/f77c68bb4be8516d
,274,Rafael Dos Anjos,http://www.fightmetric.com/fighter-details/6a2f7c151031653d
"""Chaos""",275,Colby Covington,http://www.fightmetric.com/fighter-details/dc9572dd6ec74859
"""The Preacher's Daughter""",276,Holly Holm,http://www.fightmetric.com/fighter-details/634e2fb70bde3fd5
,277,Megan Anderson,http://www.fightmetric.com/fighter-details/a0e75f4a13eb73f1
"""Bam Bam""",278,Tai Tuivasa,http://www.fightmetric.com/fighter-details/c62fbc117d57b943
"""CM Punk""",279,CM Punk,http://www.fightmetric.com/fighter-details/a8c9d16fe2a14d72
"""The Truth""",280,Mike Jackson,http://www.fightmetric.com/fighter-details/0641c21bec209472
"""The Demolition Man""",281,Alistair Overeem,http://www.fightmetric.com/fighter-details/b4ad3a06ee4d660c
"""Razor""",282,Curtis Blaydes,http://www.fightmetric.com/fighter-details/fa6796c55d6c5440
"""Claudinha""",283,Claudia Gadelha,http://www.fightmetric.com/fighter-details/ec34349e7dffcde7
"""The Bully""",284,Ricardo Lamas,http://www.fightmetric.com/fighter-details/3974fa35c917af1d
,285,Mirsad Bektic,http://www.fightmetric.com/fighter-details/cbd3e590a85b18c5
"""Daywalker""",286,Rashad Coulter,http://www.fightmetric.com/fighter-details/d1528ac5675558b1
,287,Chris de la Rocha,http://www.fightmetric.com/fighter-details/e51ee8ded927fc51
"""Suga""",288,Rashad Evans,http://www.fightmetric.com/fighter-details/ee779c43a8926d52
,289,Joseph Benavidez,http://www.fightmetric.com/fighter-details/80eacd4da0617c57
"""The Phenom""",290,Sergio Pettis,http://www.fightmetric.com/fighter-details/de75d1c45a39e221
"""The Carpenter""",291,Clay Guida,http://www.fightmetric.com/fighter-details/c47df9303d318c67
